epoch,lr_schedule,mem_mps_gb,mem_rss_gb,step,train_energy_MAE,train_forces_MAE,train_loss,val_energy_MAE,val_forces_MAE,val_loss
,0.0005,,,0,,,,,,
0,,0.0004425048828125,1.2942962646484375,9,10.89946460723877,0.5581215620040894,6.520350456237793,,,
0,,0.0004425048828125,1.8202972412109375,19,18.153827667236328,0.5456161499023438,17.026403427124023,,,
0,,0.0004425048828125,1.5802154541015625,29,5.784038543701172,0.5126948356628418,2.17169189453125,,,
0,,0.0004425048828125,1.8667449951171875,39,7.059108734130859,0.5349604487419128,3.0260915756225586,,,
0,,0.0004425048828125,1.8748779296875,49,2.896778106689453,0.5382227301597595,0.9570662975311279,,,
0,,,,56,,,,2.674650192260742,0.5373729467391968,0.9055744409561157
,0.0005,,,57,,,,,,
1,,0.0004425048828125,1.5874786376953125,59,1.3896205425262451,0.5344332456588745,0.6538138389587402,,,
1,,0.0004425048828125,1.590484619140625,69,1.2826812267303467,0.5086483359336853,0.5540924668312073,,,
1,,0.0004425048828125,1.260528564453125,79,0.584414005279541,0.5187317132949829,0.5204064846038818,,,
1,,0.0004425048828125,1.9202423095703125,89,0.4391603469848633,0.531287670135498,0.5156151056289673,,,
1,,0.0004425048828125,1.925933837890625,99,0.3615286350250244,0.516751229763031,0.5089638829231262,,,
1,,0.0004425048828125,1.9630584716796875,109,0.2602461576461792,0.5117679238319397,0.48515522480010986,,,
1,,,,113,,,,0.6716341972351074,0.5304695963859558,0.5483883023262024
,0.0005,,,114,,,,,,
2,,0.0004425048828125,1.6778106689453125,119,0.7930986285209656,0.5105547904968262,0.5359662771224976,,,
2,,0.0004425048828125,1.6783447265625,129,0.5580609440803528,0.5290581583976746,0.5591558814048767,,,
2,,0.0004425048828125,1.679046630859375,139,0.5172907710075378,0.5196053981781006,0.5146162509918213,,,
2,,0.0004425048828125,1.6790771484375,149,0.43267664313316345,0.521551787853241,0.5242583751678467,,,
2,,0.0004425048828125,1.682769775390625,159,0.45275142788887024,0.5410625338554382,0.5571282505989075,,,
2,,0.0004425048828125,1.78466796875,169,0.4623638391494751,0.49037566781044006,0.45487478375434875,,,
2,,,,170,,,,0.5901572704315186,0.5225856304168701,0.5261082649230957
,0.0005,,,171,,,,,,
3,,0.0004425048828125,1.195831298828125,179,1.2474799156188965,0.5075897574424744,0.5582907795906067,,,
3,,0.0004425048828125,1.59185791015625,189,0.49104270339012146,0.531578540802002,0.5437569618225098,,,
3,,0.0004425048828125,1.9036407470703125,199,1.0247776508331299,0.4910319149494171,0.5018569231033325,,,
3,,0.0004425048828125,1.966552734375,209,1.0069291591644287,0.5078811049461365,0.5331423282623291,,,
3,,0.0004425048828125,1.973663330078125,219,0.9317470192909241,0.5261415243148804,0.5730528235435486,,,
3,,,,227,,,,0.4295767843723297,0.5145970582962036,0.5021390318870544
,0.0005,,,228,,,,,,
4,,0.0004425048828125,1.5441131591796875,229,0.45427384972572327,0.4910070300102234,0.466635137796402,,,
4,,0.0004425048828125,1.549530029296875,239,0.8442999124526978,0.5101872682571411,0.5460848808288574,,,
4,,0.0004425048828125,1.915496826171875,249,0.521420955657959,0.507201075553894,0.4971427023410797,,,
4,,0.0004425048828125,1.9750213623046875,259,0.5636651515960693,0.4913880527019501,0.4493951201438904,,,
4,,0.0004425048828125,1.9547119140625,269,0.5156431198120117,0.5088400840759277,0.5000161528587341,,,
4,,0.0004425048828125,1.957275390625,279,1.0725088119506836,0.4898614287376404,0.5224316120147705,,,
4,,,,284,,,,0.44800040125846863,0.5066204071044922,0.4884418845176697
,0.0005,,,285,,,,,,
5,,0.0004425048828125,1.667327880859375,289,0.6942307949066162,0.47761648893356323,0.4617402255535126,,,
5,,0.0004425048828125,1.9793701171875,299,1.0499424934387207,0.49667662382125854,0.5140413641929626,,,
5,,0.0004425048828125,1.98016357421875,309,0.39612916111946106,0.5102275013923645,0.4853968024253845,,,
5,,0.0004425048828125,1.980194091796875,319,1.0995464324951172,0.48538461327552795,0.5371654629707336,,,
5,,0.0004425048828125,1.66131591796875,329,1.3282339572906494,0.49772778153419495,0.5604066848754883,,,
5,,0.0004425048828125,1.7282867431640625,339,0.3539811670780182,0.49082204699516296,0.45467180013656616,,,
5,,,,341,,,,0.8645253777503967,0.49876248836517334,0.5092355608940125
,0.0005,,,342,,,,,,
6,,0.0004425048828125,1.6949615478515625,349,0.9651960134506226,0.49024051427841187,0.5067963004112244,,,
6,,0.0004425048828125,1.6964874267578125,359,1.035805344581604,0.49457743763923645,0.5151316523551941,,,
6,,0.0004425048828125,1.696502685546875,369,0.3979397714138031,0.49318885803222656,0.469446063041687,,,
6,,0.0004425048828125,1.696502685546875,379,0.8178330063819885,0.48075082898139954,0.47989073395729065,,,
6,,0.0004425048828125,1.696502685546875,389,0.24947789311408997,0.48259493708610535,0.4272597134113312,,,
6,,,,398,,,,1.5307143926620483,0.4905785620212555,0.5743257999420166
,0.0005,,,399,,,,,,
7,,0.0004425048828125,1.6054840087890625,399,1.3741785287857056,0.49251917004585266,0.53363037109375,,,
7,,0.0004425048828125,1.6964569091796875,409,0.2949444651603699,0.505051851272583,0.48744335770606995,,,
7,,0.0004425048828125,1.6971588134765625,419,0.5621818900108337,0.5074954628944397,0.5129600167274475,,,
7,,0.0004425048828125,1.8451690673828125,429,1.044329047203064,0.48052772879600525,0.5006060600280762,,,
7,,0.0004425048828125,1.85040283203125,439,1.683494210243225,0.48312968015670776,0.5791311264038086,,,
7,,0.0004425048828125,1.850494384765625,449,0.9628041982650757,0.4729714095592499,0.4938046932220459,,,
7,,,,455,,,,0.4366034269332886,0.4819636940956116,0.44763267040252686
,0.0005,,,456,,,,,,
8,,0.0004425048828125,1.5716705322265625,459,0.24716174602508545,0.46311017870903015,0.40193435549736023,,,
8,,0.0004425048828125,1.57171630859375,469,0.4111986756324768,0.4988008737564087,0.4790804386138916,,,
8,,0.0004425048828125,1.6306610107421875,479,0.5820899605751038,0.48474711179733276,0.4730825424194336,,,
8,,0.0004425048828125,1.63067626953125,489,0.7866708040237427,0.46700596809387207,0.4427792429924011,,,
8,,0.0004425048828125,1.689697265625,499,0.5214722752571106,0.474915087223053,0.44366905093193054,,,
8,,0.0004425048828125,1.8671417236328125,509,0.5288848876953125,0.46309158205986023,0.41520246863365173,,,
8,,,,512,,,,1.3241894245147705,0.47176676988601685,0.5123174786567688
,0.0005,,,513,,,,,,
9,,0.0004425048828125,1.1952972412109375,519,0.4983006715774536,0.4538055658340454,0.3933848440647125,,,
9,,0.0004425048828125,1.212066650390625,529,1.1219602823257446,0.4585602283477783,0.46765005588531494,,,
9,,0.0004425048828125,1.502471923828125,539,0.8246457576751709,0.4612329304218292,0.4574887156486511,,,
9,,0.0004425048828125,1.45135498046875,549,0.5117430090904236,0.4591980576515198,0.4137303829193115,,,
9,,0.0004425048828125,1.4049530029296875,559,0.5413079261779785,0.4633689820766449,0.41468507051467896,,,
9,,0.0004425048828125,1.75244140625,569,0.32314449548721313,0.4566989839076996,0.38144391775131226,,,
9,,,,569,,,,0.2784241735935211,0.4592115581035614,0.40271830558776855
,0.0005,,,570,,,,,,
10,,0.0004425048828125,1.5638427734375,579,0.12116552889347076,0.448140025138855,0.37557899951934814,,,
10,,0.0004425048828125,1.9047088623046875,589,0.9847986698150635,0.41508153080940247,0.37789344787597656,,,
10,,0.0004425048828125,1.9308013916015625,599,0.8148869872093201,0.4595460593700409,0.43839001655578613,,,
10,,0.0004425048828125,1.930877685546875,609,0.6381253004074097,0.4467049241065979,0.4003095030784607,,,
10,,0.0004425048828125,1.905029296875,619,1.2923392057418823,0.4303402304649353,0.43774327635765076,,,
10,,,,626,,,,0.7198704481124878,0.44103363156318665,0.3965418338775635
,0.0005,,,627,,,,,,
11,,0.0004425048828125,1.4998321533203125,629,0.7200341820716858,0.41485050320625305,0.3306002914905548,,,
11,,0.0004425048828125,1.499847412109375,639,0.2760711908340454,0.4693129360675812,0.41207852959632874,,,
11,,0.0004425048828125,1.4999237060546875,649,0.9905333518981934,0.43979761004447937,0.4150755703449249,,,
11,,0.0004425048828125,1.867156982421875,659,0.6248363852500916,0.41224417090415955,0.34050068259239197,,,
11,,0.0004425048828125,1.801544189453125,669,1.1193429231643677,0.4127483069896698,0.41384825110435486,,,
11,,0.0004425048828125,1.8021392822265625,679,0.8426004648208618,0.4170442819595337,0.3509227931499481,,,
11,,,,683,,,,0.23791958391666412,0.4069117605686188,0.312124639749527
,0.0005,,,684,,,,,,
12,,0.0004425048828125,1.58538818359375,689,0.6624525785446167,0.41362130641937256,0.35006648302078247,,,
12,,0.0004425048828125,1.839111328125,699,0.8552708029747009,0.4087667465209961,0.34785017371177673,,,
12,,0.0004425048828125,1.839111328125,709,0.4100554287433624,0.4060562252998352,0.30939218401908875,,,
12,,0.0004425048828125,1.839111328125,719,0.5190886855125427,0.37699219584465027,0.2734202742576599,,,
12,,0.0004425048828125,2.0328369140625,729,0.47803574800491333,0.36495786905288696,0.25537538528442383,,,
12,,0.0004425048828125,2.0328521728515625,739,0.43840259313583374,0.3353319764137268,0.2075124830007553,,,
12,,,,740,,,,0.8003659248352051,0.3652305603027344,0.27672865986824036
,0.0005,,,741,,,,,,
13,,0.0004425048828125,1.774200439453125,749,0.36618688702583313,0.37196844816207886,0.25452491641044617,,,
13,,0.0004425048828125,1.7743988037109375,759,0.5090566873550415,0.3578004539012909,0.24092793464660645,,,
13,,0.0004425048828125,1.774444580078125,769,0.8673253059387207,0.3566625416278839,0.2721215784549713,,,
13,,0.0004425048828125,1.77447509765625,779,0.16598975658416748,0.32942333817481995,0.19273020327091217,,,
13,,0.0004425048828125,2.01165771484375,789,0.45201143622398376,0.34171345829963684,0.21863996982574463,,,
13,,,,797,,,,0.32954928278923035,0.3395240604877472,0.21105022728443146
,0.0005,,,798,,,,,,
14,,0.0004425048828125,1.8056640625,799,0.763063371181488,0.3359009921550751,0.23876184225082397,,,
14,,0.0004425048828125,1.805877685546875,809,1.3258252143859863,0.33309730887413025,0.291074275970459,,,
14,,0.0004425048828125,1.80596923828125,819,0.16415256261825562,0.3382880687713623,0.19394834339618683,,,
14,,0.0004425048828125,2.052001953125,829,0.1971590220928192,0.34020641446113586,0.21412019431591034,,,
14,,0.0004425048828125,2.0584259033203125,839,0.2678750157356262,0.2996850907802582,0.1548330932855606,,,
14,,0.0004425048828125,2.05987548828125,849,0.6432358622550964,0.3226633369922638,0.20757922530174255,,,
14,,,,854,,,,1.7300878763198853,0.3090091943740845,0.31992819905281067
,0.0005,,,855,,,,,,
15,,0.0004425048828125,1.56201171875,859,0.697906494140625,0.3049905598163605,0.19304175674915314,,,
15,,0.0004425048828125,1.914703369140625,869,0.7256674766540527,0.30343443155288696,0.19579604268074036,,,
15,,0.0004425048828125,1.6073150634765625,879,0.05719560384750366,0.2930253744125366,0.14136354625225067,,,
15,,0.0004425048828125,1.616729736328125,889,0.4854949116706848,0.2848832309246063,0.159067302942276,,,
15,,0.0004425048828125,1.980194091796875,899,0.17571592330932617,0.28534162044525146,0.14447887241840363,,,
15,,0.0004425048828125,1.654876708984375,909,0.355476438999176,0.27846166491508484,0.142256960272789,,,
15,,,,911,,,,0.8553117513656616,0.27932655811309814,0.17478375136852264
,0.0005,,,912,,,,,,
16,,0.0004425048828125,1.5747833251953125,919,0.7464190125465393,0.2670285403728485,0.15353530645370483,,,
16,,0.0004425048828125,1.575439453125,929,0.34494200348854065,0.2665803134441376,0.1302950084209442,,,
