set,index,formula,n_atoms,mean,max,unseen_element_atoms
rot250 valid (held out),0,C60H58F14N2O10,144,0.0020198314785235243,0.012483615079687427,0
rot250 valid (held out),1,C60H58F14N2O10,144,0.0016984820018248817,0.006159339181582957,0
rot250 valid (held out),2,C60H58F14N2O10,144,0.001663371422822268,0.009001579956787964,0
rot250 valid (held out),3,C60H58F14N2O10,144,0.0020879037628939306,0.009784080913314952,0
rot250 valid (held out),4,C60H58F14N2O10,144,0.0015749504408398116,0.006709976735121637,0
rot250 valid (held out),5,C60H58F14N2O10,144,0.0019337329396501737,0.008587529774370273,0
rot250 valid (held out),6,C60H58F14N2O10,144,0.0017311836787861873,0.01451885420053034,0
rot250 valid (held out),7,C60H58F14N2O10,144,0.002017307049036412,0.01282228156430254,0
rot250 valid (held out),8,C60H58F14N2O10,144,0.001879494178957949,0.007956237772469898,0
rot250 valid (held out),9,C60H58F14N2O10,144,0.001556221376513613,0.005377316389177822,0
rot250 valid (held out),10,C60H58F14N2O10,144,0.0015955129816435252,0.007054852685442703,0
rot250 valid (held out),11,C60H58F14N2O10,144,0.0017978555450277054,0.008238631714229117,0
rot250 valid (held out),12,C60H58F14N2O10,144,0.0020241328749782315,0.010436480973755824,0
rot250 valid (held out),13,C60H58F14N2O10,144,0.0019649257048135233,0.011340640366935828,0
rot250 valid (held out),14,C60H58F14N2O10,144,0.0016165304932260884,0.008942448060886843,0
rot250 valid (held out),15,C60H58F14N2O10,144,0.0015896736689341902,0.006973782363883574,0
rot250 valid (held out),16,C60H58F14N2O10,144,0.0019127824892208893,0.014056900967487351,0
rot250 valid (held out),17,C60H58F14N2O10,144,0.0017769690337166393,0.013241697967426025,0
rot250 valid (held out),18,C60H58F14N2O10,144,0.0018810063592678392,0.017025214795036936,0
rot250 valid (held out),19,C60H58F14N2O10,144,0.0017150699108154166,0.025461633474679335,0
rot250 valid (held out),20,C60H58F14N2O10,144,0.0018040079350902715,0.011015660650863457,0
rot250 valid (held out),21,C60H58F14N2O10,144,0.0017886185591899169,0.00796799563948547,0
rot250 valid (held out),22,C60H58F14N2O10,144,0.0017411261286368483,0.006888466210263178,0
rot250 valid (held out),23,C60H58F14N2O10,144,0.0017996497567403852,0.01972998817947058,0
rot250 valid (held out),24,C60H58F14N2O10,144,0.001617450248571995,0.007680673005777794,0
rot1 GFN2 MD/normal modes,0,C60H58F14N2O10,144,0.004164670731622487,0.05078309275202619,0
rot1 GFN2 MD/normal modes,1,C60H58F14N2O10,144,0.004001369573035593,0.050989937779380545,0
rot1 GFN2 MD/normal modes,2,C60H58F14N2O10,144,0.00450863187788277,0.05019708004746426,0
rot1 GFN2 MD/normal modes,3,C60H58F14N2O10,144,0.0013976001777880485,0.008899215051732412,0
rot1 GFN2 MD/normal modes,4,C60H58F14N2O10,144,0.005742292149080242,0.16165065846590032,0
rot1 GFN2 MD/normal modes,5,C60H58F14N2O10,144,0.002678537243261853,0.01619124291134899,0
rot1 GFN2 MD/normal modes,6,C60H58F14N2O10,144,0.005254989777551501,0.0876602816403308,0
rot1 GFN2 MD/normal modes,7,C60H58F14N2O10,144,0.00446143411750272,0.05212917454570187,0
rot1 GFN2 MD/normal modes,8,C60H58F14N2O10,144,0.002579946089791295,0.010087825755002333,0
rot1 GFN2 MD/normal modes,9,C60H58F14N2O10,144,0.002286109640624782,0.011299564669707052,0
