set,index,formula,n_atoms,mean,max,unseen_element_atoms
rot250 valid (held out),0,C60H58F14N2O10,144,0.0018917163631164775,0.010734535902064302,0
rot250 valid (held out),1,C60H58F14N2O10,144,0.0015977249226201517,0.00588457322233471,0
rot250 valid (held out),2,C60H58F14N2O10,144,0.001554689092724428,0.008207376110098252,0
rot250 valid (held out),3,C60H58F14N2O10,144,0.0019564848528628603,0.009865004076906825,0
rot250 valid (held out),4,C60H58F14N2O10,144,0.0014727301610486868,0.00673814837478548,0
rot250 valid (held out),5,C60H58F14N2O10,144,0.0018254413782701653,0.008325506063313726,0
rot250 valid (held out),6,C60H58F14N2O10,144,0.0016170943995602886,0.013562199457908264,0
rot250 valid (held out),7,C60H58F14N2O10,144,0.0018757255949098215,0.011710403412788173,0
rot250 valid (held out),8,C60H58F14N2O10,144,0.001748801160980487,0.007167788076507531,0
rot250 valid (held out),9,C60H58F14N2O10,144,0.0014520845145525997,0.0053390101432506665,0
rot250 valid (held out),10,C60H58F14N2O10,144,0.0014978095428636472,0.0064324945340811235,0
rot250 valid (held out),11,C60H58F14N2O10,144,0.0016732488732676765,0.007410552054890607,0
rot250 valid (held out),12,C60H58F14N2O10,144,0.00189824990877952,0.009969800928590122,0
rot250 valid (held out),13,C60H58F14N2O10,144,0.0018353533897773671,0.010471831412968924,0
rot250 valid (held out),14,C60H58F14N2O10,144,0.0015001338865064538,0.008111561952307889,0
rot250 valid (held out),15,C60H58F14N2O10,144,0.0014811898531205511,0.006654022678859173,0
rot250 valid (held out),16,C60H58F14N2O10,144,0.0017883935812105958,0.0129962710080751,0
rot250 valid (held out),17,C60H58F14N2O10,144,0.0016549958976067236,0.013676283453483595,0
rot250 valid (held out),18,C60H58F14N2O10,144,0.001751656316616013,0.015725499189570447,0
rot250 valid (held out),19,C60H58F14N2O10,144,0.0016218001929206266,0.026581658870606706,0
rot250 valid (held out),20,C60H58F14N2O10,144,0.0016877165891567114,0.011655107148184407,0
rot250 valid (held out),21,C60H58F14N2O10,144,0.0016718732701563668,0.007654849121966789,0
rot250 valid (held out),22,C60H58F14N2O10,144,0.0016203311967095402,0.0063143051748479895,0
rot250 valid (held out),23,C60H58F14N2O10,144,0.001679097697433636,0.018982611119925497,0
rot250 valid (held out),24,C60H58F14N2O10,144,0.001501528164134448,0.007177348549341711,0
