set,index,formula,n_atoms,mean,max,unseen_element_atoms
rot250 valid (held out),0,C60H58F14N2O10,144,0.00019530422763250035,0.0009581091072139447,0
rot250 valid (held out),1,C60H58F14N2O10,144,0.00017477732743687873,0.0012240279514016406,0
rot250 valid (held out),2,C60H58F14N2O10,144,0.0001476439383429278,0.0008781189074833495,0
rot250 valid (held out),3,C60H58F14N2O10,144,0.00019283622527760082,0.001054943388784313,0
rot250 valid (held out),4,C60H58F14N2O10,144,0.00014586227926742447,0.0009804678142001366,0
rot250 valid (held out),5,C60H58F14N2O10,144,0.00019210904624319494,0.0012713565487433298,0
rot250 valid (held out),6,C60H58F14N2O10,144,0.0001400561024327493,0.0008751048751549639,0
rot250 valid (held out),7,C60H58F14N2O10,144,0.00019756941092423375,0.001234507261075768,0
rot250 valid (held out),8,C60H58F14N2O10,144,0.00017411273299353412,0.0010981053645420236,0
rot250 valid (held out),9,C60H58F14N2O10,144,0.00013880506804788865,0.0007066984956236588,0
rot250 valid (held out),10,C60H58F14N2O10,144,0.00014304649494555066,0.0010061078605053675,0
rot250 valid (held out),11,C60H58F14N2O10,144,0.00017152418107886647,0.001220403966467054,0
rot250 valid (held out),12,C60H58F14N2O10,144,0.0002065210776006863,0.0011537809512431885,0
rot250 valid (held out),13,C60H58F14N2O10,144,0.0001865647263667154,0.0011961742138495435,0
rot250 valid (held out),14,C60H58F14N2O10,144,0.00014338740297606785,0.0008234979453775049,0
rot250 valid (held out),15,C60H58F14N2O10,144,0.00014372882096802157,0.0009046136361386958,0
rot250 valid (held out),16,C60H58F14N2O10,144,0.0001833301987067949,0.0016933186445379222,0
rot250 valid (held out),17,C60H58F14N2O10,144,0.00016097766885278376,0.0010917127410881022,0
rot250 valid (held out),18,C60H58F14N2O10,144,0.00017109539572972906,0.001446430442001545,0
rot250 valid (held out),19,C60H58F14N2O10,144,0.00013378918886856883,0.0006720521178308347,0
rot250 valid (held out),20,C60H58F14N2O10,144,0.00015927083332829904,0.0010148568019292536,0
