set,index,formula,n_atoms,mean,max,unseen_element_atoms
rot250 valid (held out),0,C60H58F14N2O10,144,0.002207856104338753,0.011215831973901857,0
rot250 valid (held out),1,C60H58F14N2O10,144,0.0018285666422809235,0.00853621826176798,0
rot250 valid (held out),2,C60H58F14N2O10,144,0.001659836300082436,0.006921904861609041,0
rot250 valid (held out),3,C60H58F14N2O10,144,0.002106995108494318,0.010427296059571933,0
rot250 valid (held out),4,C60H58F14N2O10,144,0.0015599253721374556,0.007053918102588597,0
rot250 valid (held out),5,C60H58F14N2O10,144,0.0019104419069389156,0.008853863872752,0
rot250 valid (held out),6,C60H58F14N2O10,144,0.0016537280059909039,0.008221511858974462,0
rot250 valid (held out),7,C60H58F14N2O10,144,0.0020225076221265428,0.014903188004505519,0
rot250 valid (held out),8,C60H58F14N2O10,144,0.0019172232453534247,0.00788479219380478,0
rot250 valid (held out),9,C60H58F14N2O10,144,0.0015721234626522014,0.0072864539284721586,0
rot250 valid (held out),10,C60H58F14N2O10,144,0.0016239607627923554,0.010942749467460211,0
rot250 valid (held out),11,C60H58F14N2O10,144,0.001731884646864096,0.009710167216448573,0
rot250 valid (held out),12,C60H58F14N2O10,144,0.0020910175220496038,0.00887020138147232,0
rot250 valid (held out),13,C60H58F14N2O10,144,0.0020091100206364584,0.013376546382389942,0
rot250 valid (held out),14,C60H58F14N2O10,144,0.0017125664416436917,0.009169869876324399,0
rot250 valid (held out),15,C60H58F14N2O10,144,0.001492878393916162,0.006452565075818706,0
rot250 valid (held out),16,C60H58F14N2O10,144,0.0018749494822639494,0.013917097798049394,0
rot250 valid (held out),17,C60H58F14N2O10,144,0.001670985974256652,0.008190139207327363,0
rot250 valid (held out),18,C60H58F14N2O10,144,0.0018450074087941425,0.010483257702640025,0
rot250 valid (held out),19,C60H58F14N2O10,144,0.0015109481931821682,0.006469725627389011,0
rot250 valid (held out),20,C60H58F14N2O10,144,0.0017528035070809847,0.009733237420981311,0
rot250 valid (held out),21,C60H58F14N2O10,144,0.0016540851171951167,0.007166681153329524,0
rot250 valid (held out),22,C60H58F14N2O10,144,0.001614352858187865,0.007070846967006994,0
rot250 valid (held out),23,C60H58F14N2O10,144,0.0018280444727083625,0.015506934495057023,0
rot250 valid (held out),24,C60H58F14N2O10,144,0.0016682313445275045,0.009027931618319607,0
rot1 GFN2 MD/normal modes,0,C60H58F14N2O10,144,0.004057176079869115,0.026269459614360446,0
rot1 GFN2 MD/normal modes,1,C60H58F14N2O10,144,0.0037367499697028564,0.019912915145485766,0
rot1 GFN2 MD/normal modes,2,C60H58F14N2O10,144,0.004370353716208846,0.026659187243233462,0
rot1 GFN2 MD/normal modes,3,C60H58F14N2O10,144,0.0017109398201211679,0.009469382770995294,0
rot1 GFN2 MD/normal modes,4,C60H58F14N2O10,144,0.005080177608146532,0.12385624192486033,0
rot1 GFN2 MD/normal modes,5,C60H58F14N2O10,144,0.0030385678527802638,0.017652625361539553,0
rot1 GFN2 MD/normal modes,6,C60H58F14N2O10,144,0.004815148898587948,0.06039237273776055,0
rot1 GFN2 MD/normal modes,7,C60H58F14N2O10,144,0.004424110804432604,0.03726223673311624,0
rot1 GFN2 MD/normal modes,8,C60H58F14N2O10,144,0.0029416873507221194,0.01584610572258005,0
rot1 GFN2 MD/normal modes,9,C60H58F14N2O10,144,0.0025808976575094574,0.014730984150760906,0
rot1 GFN2 MD/normal modes,10,C60H58F14N2O10,144,0.0024447475178477054,0.011196294386561667,0
rot1 GFN2 MD/normal modes,11,C60H58F14N2O10,144,0.00417488633334128,0.03429552475089437,0
rot1 GFN2 MD/normal modes,12,C60H58F14N2O10,144,0.0030648809411207467,0.01766944262510073,0
rot1 GFN2 MD/normal modes,13,C60H58F14N2O10,144,0.0034918436540250478,0.029498379496269544,0
rot1 GFN2 MD/normal modes,14,C60H58F14N2O10,144,0.00482195453671256,0.06057586590476405,0
rot1 GFN2 MD/normal modes,15,C60H58F14N2O10,144,0.004309912634611187,0.02458663828437002,0
rot1 GFN2 MD/normal modes,16,C60H58F14N2O10,144,0.004447540513057885,0.03611703594739246,0
rot1 GFN2 MD/normal modes,17,C60H58F14N2O10,144,0.0036126891078236295,0.025467204222581974,0
rot1 GFN2 MD/normal modes,18,C60H58F14N2O10,144,0.002737191349524226,0.014583862477197895,0
rot1 GFN2 MD/normal modes,19,C60H58F14N2O10,144,0.002783379567083557,0.016382536531015734,0
rot1 GFN2 MD/normal modes,20,C60H58F14N2O10,144,0.004181169212012048,0.04038250747628758,0
rot1 GFN2 MD/normal modes,21,C60H58F14N2O10,144,0.004826313213712978,0.06068405189094228,0
rot1 GFN2 MD/normal modes,22,C60H58F14N2O10,144,0.003655625685976203,0.024779493304878053,0
rot1 GFN2 MD/normal modes,23,C60H58F14N2O10,144,0.004827654468326349,0.06061926167342946,0
rot1 GFN2 MD/normal modes,24,C60H58F14N2O10,144,0.0027798643375852358,0.011359078832964387,0
rot1 GFN2 MD/normal modes,25,C60H58F14N2O10,144,0.004825698505084953,0.06048420899193274,0
rot1 GFN2 MD/normal modes,26,C60H58F14N2O10,144,0.002506045136496952,0.014925100604456065,0
rot1 GFN2 MD/normal modes,27,C60H58F14N2O10,144,0.002630952094068019,0.013141531681840957,0
rot1 GFN2 MD/normal modes,28,C60H58F14N2O10,144,0.004551313102350671,0.03134781449078494,0
rot1 GFN2 MD/normal modes,29,C60H58F14N2O10,144,0.0033600672554642504,0.02374443564579165,0
rot1 GFN2 MD/normal modes,30,C60H58F14N2O10,144,0.004729194345833913,0.03317718012129367,0
rot1 GFN2 MD/normal modes,31,C60H58F14N2O10,144,0.003822958595988991,0.026404819725487916,0
rot1 GFN2 MD/normal modes,32,C60H58F14N2O10,144,0.0037310085836602135,0.01905140718007936,0
rot1 GFN2 MD/normal modes,33,C60H58F14N2O10,144,0.003138249327148215,0.020042856789127428,0
rot1 GFN2 MD/normal modes,34,C60H58F14N2O10,144,0.004599351389888207,0.024696929816396263,0
rot1 GFN2 MD/normal modes,35,C60H58F14N2O10,144,0.003042562724010691,0.016461678294806603,0
rot1 GFN2 MD/normal modes,36,C60H58F14N2O10,144,0.002792952033612874,0.011199862831124285,0
rot1 GFN2 MD/normal modes,37,C60H58F14N2O10,144,0.0026463352791441836,0.01429257894490299,0
rot1 GFN2 MD/normal modes,38,C60H58F14N2O10,144,0.0045275400277645,0.10865322086350127,0
rot1 GFN2 MD/normal modes,39,C60H58F14N2O10,144,0.002555869646961899,0.012315063716847985,0
rot1 GFN2 MD/normal modes,40,C60H58F14N2O10,144,0.003921371870390036,0.03411148611708448,0
rot1 GFN2 MD/normal modes,41,C60H58F14N2O10,144,0.00559828455399241,0.1452617654412145,0
rot1 GFN2 MD/normal modes,42,C60H58F14N2O10,144,0.004925701635688167,0.03276490919909225,0
rot1 GFN2 MD/normal modes,43,C60H58F14N2O10,144,0.004477601055752435,0.024527972549718946,0
rot1 GFN2 MD/normal modes,44,C60H58F14N2O10,144,0.004821194480073048,0.06054758613084765,0
rot1 GFN2 MD/normal modes,45,C60H58F14N2O10,144,0.004769144047484221,0.030736647318339583,0
rot1 GFN2 MD/normal modes,46,C60H58F14N2O10,144,0.004163530573354008,0.0753329428104188,0
rot1 GFN2 MD/normal modes,47,C60H58F14N2O10,144,0.0036018880749015686,0.02127082378199896,0
rot1 GFN2 MD/normal modes,48,C60H58F14N2O10,144,0.0028489538301104877,0.01906047999895566,0
rot1 GFN2 MD/normal modes,49,C60H58F14N2O10,144,0.004035533688496239,0.023920593030763326,0
